index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
855	hasOSMTag	sports_centre	osmtag	891f0386337ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
856	hasOSMTag	nature_reserve	osmtag	891f03948a7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
857	hasOSMTag	place_of_worship	osmtag	891f03876bbffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
858	hasOSMTag	place_of_worship	osmtag	891f0149ac3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
859	hasOSMTag	playground	osmtag	891f0386a17ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
860	hasOSMTag	891f0385b93ffff	h3place	place_of_worship	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
861	located_on_h3_cell	https://www.openstreetmap.org/way/203571576	osmplace	891f03876bbffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
862	hasOSMTag	place_of_worship	osmtag	891f0394da7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
863	located_on_h3_cell	891f03868d7ffff	h3place	https://www.openstreetmap.org/way/694094549	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
864	hasOSMTag	place_of_worship	osmtag	891f0384857ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
865	hasOSMTag	place_of_worship	osmtag	891f0386803ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
866	hasOSMTag	pitch	osmtag	891f0386837ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
867	located_on_h3_cell	891f0386807ffff	h3place	https://www.openstreetmap.org/way/242403103	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
868	hasOSMTag	beachvolleyball	osmtag	891f038492bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
869	located_on_h3_cell	891f0386807ffff	h3place	https://www.openstreetmap.org/way/242375181	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
870	located_on_h3_cell	891f0386807ffff	h3place	https://www.openstreetmap.org/way/242403099	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
871	hasOSMTag	place_of_worship	osmtag	891f03959b7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
872	hasOSMTag	pitch	osmtag	891f03868abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
873	located_on_h3_cell	891f0386807ffff	h3place	https://www.openstreetmap.org/way/242401292	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
874	located_on_h3_cell	891f0386807ffff	h3place	https://www.openstreetmap.org/way/242403098	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
875	hasOSMTag	golf	osmtag	891f0386c6fffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
876	hasOSMTag	891f0386807ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	5.0
877	located_on_h3_cell	891f0387063ffff	h3place	https://www.openstreetmap.org/node/8688213824	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
878	located_on_h3_cell	891f0387063ffff	h3place	https://www.openstreetmap.org/relation/12655940	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
879	located_on_h3_cell	891f0386813ffff	h3place	https://www.openstreetmap.org/way/242403094	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
880	hasOSMTag	891f0387063ffff	h3place	stop_position	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	2.0
881	located_on_h3_cell	https://www.openstreetmap.org/way/242147356	osmplace	891f0386817ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
882	hasOSMTag	swimming_pool	osmtag	891f038660bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
883	located_on_h3_cell	https://www.openstreetmap.org/node/333322464	osmplace	891f014d293ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
