index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
650	located_on_h3_cell	https://www.openstreetmap.org/way/881148373	osmplace	891f02b34cfffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
651	located_on_h3_cell	https://www.openstreetmap.org/relation/11990441	osmplace	891f02ba883ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
652	located_on_h3_cell	https://www.openstreetmap.org/node/6762611374	osmplace	891f0284c0fffff	h3place	False	6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0	
653	located_on_h3_cell	https://www.openstreetmap.org/way/365539361	osmplace	891f02b232fffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
654	located_on_h3_cell	https://www.openstreetmap.org/way/957990109	osmplace	891f02aa1b3ffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
655	located_on_h3_cell	https://www.openstreetmap.org/way/399925898	osmplace	891f02b95afffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
656	located_on_h3_cell	https://www.openstreetmap.org/way/401849274	osmplace	891f0285eb3ffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
657	located_on_h3_cell	https://www.openstreetmap.org/node/8587177096	osmplace	891f02bac23ffff	h3place	False	6.0	Services_POS_amenity around (Wismar) radius=15.0	
658	located_on_h3_cell	891f02b952fffff	h3place	https://www.openstreetmap.org/way/882036723	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
659	hasOSMTag	nature_reserve	osmtag	891f02ba8abffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
660	hasOSMTag	nature_reserve	osmtag	891f02b9e1bffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
661	hasOSMTag	nature_reserve	osmtag	891f02aa00fffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
662	hasOSMTag	basketball	osmtag	891f02bacc3ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
663	hasOSMTag	nature_reserve	osmtag	891f02ba86bffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
664	hasOSMTag	school	osmtag	891f02b2e53ffff	h3place	False		Services_POS_amenity around (Wismar) radius=15.0	1.0
665	hasOSMTag	park	osmtag	891f02b198fffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
666	hasOSMTag	school	osmtag	891f0284b9bffff	h3place	False		Services_POS_amenity around (Wismar) radius=15.0	1.0
667	hasOSMTag	clinic	osmtag	891f02b12d7ffff	h3place	False		Services_POS_amenity around (Wismar) radius=15.0	1.0
668	hasOSMTag	marina	osmtag	891f0284c3bffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
669	hasOSMTag	skateboard	osmtag	891f02bac4fffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
670	located_on_h3_cell	891f02b13b7ffff	h3place	https://www.openstreetmap.org/way/881148379	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
671	hasOSMTag	place_of_worship	osmtag	891f02b126fffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
672	located_on_h3_cell	https://www.openstreetmap.org/way/880563669	osmplace	891f02a3107ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
673	hasOSMTag	place_of_worship	osmtag	891f02ba4abffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
674	located_on_h3_cell	891f02ba8d3ffff	h3place	https://www.openstreetmap.org/way/880986389	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
675	hasOSMTag	place_of_worship	osmtag	891f02b2e5bffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
676	hasOSMTag	place_of_worship	osmtag	891f02aa09bffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
677	hasOSMTag	beach_resort	osmtag	891f0284123ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
678	hasOSMTag	equestrian	osmtag	891f02b1973ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
679	hasOSMTag	equestrian	osmtag	891f028482bffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
680	hasOSMTag	equestrian	osmtag	891f02b02afffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
681	hasOSMTag	volleyball	osmtag	891f02aa6cbffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
682	located_on_h3_cell	https://www.openstreetmap.org/way/880685143	osmplace	891f02badcfffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
683	located_on_h3_cell	891f02bacc7ffff	h3place	https://www.openstreetmap.org/relation/11971061	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
684	hasOSMTag	volleyball	osmtag	891f02ba107ffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
685	hasOSMTag	restaurant	osmtag	891f0284c0fffff	h3place	False		Lifestyle_POS_amenity around (Wismar) radius=15.0	1.0
686	hasOSMTag	park	osmtag	891f02b124bffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
687	hasOSMTag	park	osmtag	891f02b2b2bffff	h3place	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
