index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
358	hasOSMTag	track	osmtag	891f0384903ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
359	hasOSMTag	891f03b0657ffff	h3place	childcare	osmtag	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
360	located_on_h3_cell	891f03868d7ffff	h3place	https://www.openstreetmap.org/way/694091176	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
361	located_on_h3_cell	https://www.openstreetmap.org/way/483046904	osmplace	891f03b00c3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
362	located_on_h3_cell	https://www.openstreetmap.org/way/141079840	osmplace	891f0386337ffff	h3place	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
363	located_on_h3_cell	https://www.openstreetmap.org/way/242147371	osmplace	891f038683bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
364	located_on_h3_cell	https://www.openstreetmap.org/way/242147382	osmplace	891f038683bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
365	hasOSMTag	891f03863b3ffff	h3place	playground	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
366	hasOSMTag	garden	osmtag	891f0386ea7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
367	located_on_h3_cell	891f0386397ffff	h3place	https://www.openstreetmap.org/way/188481130	osmplace	False	6.0	Lifestyle_POS_amenity around (Stralsund) radius=15.0	
368	located_on_h3_cell	891f0386163ffff	h3place	https://www.openstreetmap.org/way/456967367	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
369	located_on_h3_cell	https://www.openstreetmap.org/way/242147390	osmplace	891f038683bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
370	hasOSMTag	891f0148b0bffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
371	hasOSMTag	nature_reserve	osmtag	891f0148ebbffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
